 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.432751599366305     ,
 FAL     =   1.00010000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -2.00000000000000     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
809
 -0.2198433070682624E-01  -0.6078998053228373E-18  -0.1470681854458610E+01  -0.3604360465047262E+02
 -0.2220538800439906E-01   0.1012344656550413E-15  -0.1467905886420338E+01  -0.3481399641930602E+02
 -0.2242866808189007E-01  -0.9879116834123673E-18  -0.1465126489595445E+01  -0.3604352531338657E+02
 -0.2265419328984197E-01  -0.1021203592598804E-17  -0.1462343653476721E+01  -0.3604351687534331E+02
 -0.2288198620353707E-01   0.3080051947039101E-16  -0.1459557367510774E+01  -0.3510792249200146E+02
 -0.2311206962525714E-01  -0.5882009806543064E-18  -0.1456767621097776E+01  -0.3673662031434318E+02
 -0.2334446658656594E-01  -0.1006254520107319E-15  -0.1453974403591220E+01  -0.3481679070269537E+02
 -0.2357920035061465E-01  -0.1943980693424052E-15  -0.1451177704297661E+01  -0.3434226760702381E+02
 -0.2381629441447061E-01  -0.3544399508194432E-16  -0.1448377512476468E+01  -0.3531146134752390E+02
 -0.2405577251146933E-01  -0.4024798557125862E-16  -0.1445573817339562E+01  -0.3586907689454716E+02
 -0.2429765861359027E-01   0.3086552053847788E-17  -0.1442766608051164E+01  -0.3535019988245266E+02
 -0.2454197693385641E-01  -0.1278170688079798E-17  -0.1439955873727537E+01  -0.3535045379619041E+02
 -0.2478875192875803E-01   0.1579614896795770E-17  -0.1437141603436720E+01  -0.3604333408129679E+02
 -0.2503800830070082E-01   0.3556718070209124E-18  -0.1434323786198273E+01  -0.3604363723651030E+02
 -0.2528977100047862E-01  -0.5105738803240043E-18  -0.1431502410983009E+01  -0.3673666777728340E+02
 -0.2554406522977100E-01  -0.2790437537786002E-18  -0.1428677466712731E+01  -0.3604364349687091E+02
