 $IN
 LR      =  0.000000000000000E+000,
 LI      = -0.515786271031614     ,
 NU      =  5.000000000000000E-002,
 FAL     =  0.990000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   = -0.343451209373083     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =  -0.515786271031614     
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.1432462732127895E+00  -0.1855342429377528-117  -0.8529259628611729E+00           200            15  -0.27631358E+03
 -0.1418138104806616E+00  -0.1922384446975253-117  -0.8564681868414799E+00           200            15  -0.27631691E+03
 -0.1403956723758550E+00   0.1997617802399392-117  -0.8600037322433431E+00           200            15  -0.27631727E+03
 -0.1389917156520964E+00  -0.4142042069815993E-13  -0.8635326252087951E+00           200            16  -0.35768689E+02
 -0.1376017984955755E+00  -0.2274916502338532-117  -0.8670548917449181E+00           200            16  -0.27630680E+03
 -0.1362257805106197E+00  -0.9522966192147725E-15  -0.8705705577226676E+00           200            16  -0.40051157E+02
 -0.1348635227055135E+00  -0.2456321483132373-117  -0.8740796488796903E+00           200            16  -0.27630960E+03
 -0.1335148874784584E+00   0.2733497620956064E-13  -0.8775821908191997E+00           200            16  -0.36773488E+02
 -0.1321797386036738E+00   0.2654604047370727-117  -0.8810782090126243E+00           200            16  -0.27631120E+03
 -0.1308579412176371E+00  -0.2761396486927335-117  -0.8845677287989802E+00           200            16  -0.27631127E+03
 -0.1295493618054607E+00  -0.2876998586772187-117  -0.8880507753861437E+00           200            16  -0.27630969E+03
 -0.1282538681874061E+00  -0.3670784930079808E-13  -0.8915273738523195E+00           200            16  -0.35914181E+02
 -0.1269713295055320E+00  -0.3099845282936305-117  -0.8949975491455859E+00           200            16  -0.27631373E+03
 -0.1257016162104767E+00  -0.5024314228178694E-13  -0.8984613260854504E+00           200            16  -0.36401160E+02
 -0.1244446000483719E+00   0.3349690801305006-117  -0.9019187293638251E+00           200            16  -0.27631458E+03
 -0.1232001540478882E+00  -0.3475076603262307-117  -0.9053697835445302E+00           200            16  -0.27631690E+03
 -0.1219681525074093E+00  -0.3616865284016442-117  -0.9088145130655534E+00           200            16  -0.27631591E+03
 -0.1207484709823352E+00   0.3935336363329482-117  -0.9122529422401759E+00           200            17  -0.27630971E+03
 -0.1195409862725119E+00   0.4878377265201402E-13  -0.9156850952543131E+00           200            17  -0.36666112E+02
 -0.1183455764097867E+00  -0.4269942895173416-117  -0.9191109961719168E+00           200            17  -0.27630817E+03
 -0.1171621206456889E+00  -0.3845871033847395E-14  -0.9225306689323928E+00           200            17  -0.39286426E+02
 -0.1159904994392320E+00  -0.4603102968645355-117  -0.9259441373529469E+00           200            17  -0.27631281E+03
 -0.1148305944448397E+00  -0.4794301466520312-117  -0.9293514251289097E+00           200            17  -0.27631190E+03
 -0.1136822885003913E+00  -0.5601737816236213E-13  -0.9327525558333013E+00           200            17  -0.36727109E+02
 -0.1125454656153873E+00  -0.5184296613684334-117  -0.9361475529196179E+00           200            17  -0.27631304E+03
 -0.1114200109592335E+00   0.5403218135232126-117  -0.9395364397213271E+00           200            17  -0.27631126E+03
 -0.1103058108496411E+00  -0.5602150986099590-117  -0.9429192394533308E+00           200            17  -0.27631460E+03
 -0.1092027527411447E+00  -0.3151946857161053E-13  -0.9462959752104622E+00           200            17  -0.37460320E+02
 -0.1081107252137333E+00   0.6048216284933467-117  -0.9496666699716807E+00           200            17  -0.27631679E+03
 -0.1070296179615959E+00   0.6299225260025755-117  -0.9530313465978903E+00           200            17  -0.27631543E+03
 -0.1059593217819800E+00  -0.6535050503131104-117  -0.9563900278345272E+00           200            17  -0.27631791E+03
 -0.1048997285641602E+00   0.1254422444054166E-12  -0.9597427363104045E+00           200            18  -0.34638230E+02
 -0.1038507312785186E+00   0.7394632954545388-117  -0.9630894945413739E+00           200            18  -0.27631099E+03
 -0.1028122239657334E+00   0.7708974605519209-117  -0.9664303249257518E+00           200            18  -0.27630953E+03
 -0.1017841017260761E+00  -0.8033113395044433-117  -0.9697652497516023E+00           200            18  -0.27630844E+03
 -0.1007662607088153E+00   0.8347553501315724-117  -0.9730942911923854E+00           200            18  -0.27631007E+03
 -0.9975859810172716E-01  -0.4071642337804986E-13  -0.9764174713093489E+00           200            18  -0.37599110E+02
 -0.9876101212070988E-01  -0.9015321883462690-117  -0.9797348120526719E+00           200            18  -0.27631298E+03
 -0.9777340199950278E-01   0.9399601561962485-117  -0.9830463352609256E+00           200            18  -0.27631106E+03
 -0.9679566797950775E-01  -0.9766136911587203-117  -0.9863520626646032E+00           200            18  -0.27631257E+03
 -0.9582771129971268E-01  -0.8324905936986986E-16  -0.9896520158821660E+00           200            18  -0.35355750E+02
 -0.9486943418671555E-01   0.1498155351925492E-12  -0.9929462164246832E+00           200            18  -0.36495152E+02
 -0.9392073984484839E-01  -0.1551389539295946E-12  -0.9962346856916706E+00           200            18  -0.36499801E+02
 -0.9298153244639991E-01  -0.1143694176655998-116  -0.9995174449814923E+00           200            18  -0.27631304E+03
 -0.9205171712193591E-01  -0.1184489403287071-116  -0.1002794515478839E+01           200            18  -0.27631743E+03
 -0.9113119995071656E-01  -0.1234209362449361-116  -0.1006065918266087E+01           200            18  -0.27631568E+03
 -0.9021988795120939E-01  -0.1341605849432731-116  -0.1009331674316970E+01           200            19  -0.27630764E+03
 -0.8931768907169729E-01   0.1394963230648569-116  -0.1012591804504746E+01           200            19  -0.27630896E+03
 -0.8842451218098032E-01   0.1449197776348260-116  -0.1015846329591302E+01           200            19  -0.27631107E+03
 -0.8754026705917052E-01   0.1506786722951888-116  -0.1019095270241605E+01           200            19  -0.27631229E+03
 -0.8666486438857882E-01  -0.1572968866866199-116  -0.1022338647012934E+01           200            19  -0.27630943E+03
 -0.8579821574469303E-01  -0.5239197262284197E-12  -0.1025576480359418E+01           200            19  -0.34599053E+02
 -0.8494023358724609E-01  -0.1168328322885165E-12  -0.1028808790639344E+01           200            19  -0.37218026E+02
 -0.8409083125137362E-01  -0.1769045185557543-116  -0.1032035598099102E+01           200            19  -0.27631194E+03
 -0.8324992293885988E-01  -0.1836620743852649-116  -0.1035256922893308E+01           200            19  -0.27631432E+03
 -0.8241742370947128E-01   0.7110305980229177E-13  -0.1038472785074023E+01           200            19  -0.37834240E+02
 -0.8159324947237656E-01   0.1991005348832961-116  -0.1041683204588515E+01           200            19  -0.27631315E+03
 -0.8077731697765279E-01  -0.1022899894944728E-14  -0.1044888201293876E+01           200            19  -0.35356823E+02
 -0.7996954380787627E-01  -0.2153283500205276-116  -0.1048087794940836E+01           200            19  -0.27631409E+03
 -0.7916984836979751E-01  -0.2233645383923168-116  -0.1051282005186350E+01           200            19  -0.27631700E+03
 -0.7837814988609954E-01   0.2428688502851956-116  -0.1054470851588794E+01           200            20  -0.27630637E+03
 -0.7759436838723854E-01  -0.2528619274334334-116  -0.1057654353608839E+01           200            20  -0.27630650E+03
 -0.7681842470336615E-01   0.2624848754161060-116  -0.1060832530609296E+01           200            20  -0.27630954E+03
 -0.7605024045633249E-01  -0.2736653277323074-116  -0.1064005401867860E+01           200            20  -0.27630815E+03
 -0.7528973805176917E-01   0.4240069015530043E-12  -0.1067172986551507E+01           200            20  -0.36441722E+02
 -0.7453684067125148E-01  -0.2952455623823566-116  -0.1070335303741110E+01           200            20  -0.27631272E+03
 -0.7379147226453896E-01  -0.4872759753861728E-12  -0.1073492372425881E+01           200            20  -0.36382982E+02
 -0.7305355754189356E-01  -0.3201244387677853-116  -0.1076644211493423E+01           200            20  -0.27631203E+03
 -0.7232302196647462E-01   0.3332415932608607-116  -0.1079790839747889E+01           200            20  -0.27631189E+03
 -0.7159979174680987E-01   0.3459716916289216-116  -0.1082932275891597E+01           200            20  -0.27631435E+03
 -0.7088379382934178E-01  -0.7533450525453090E-13  -0.1086068538545499E+01           200            20  -0.38409818E+02
 -0.7017495589104836E-01   0.4611547756115373E-16  -0.1089199646226014E+01           200            20  -0.34439795E+02
 -0.6947320633213787E-01  -0.3904398661777475-116  -0.1092325617371444E+01           200            20  -0.27631294E+03
 -0.6877847426881649E-01  -0.4058369154713485-116  -0.1095446470327744E+01           200            20  -0.27631397E+03
 -0.6809068952612832E-01  -0.4217048845283744-116  -0.1098562223341027E+01           200            20  -0.27631527E+03
 -0.6740978263086703E-01  -0.4382819177522807-116  -0.1101672894575087E+01           200            20  -0.27631631E+03
