 $IN
 LR      =  0.000000000000000E+000,
 LI      = -0.429332071049662     ,
 FAL     =  0.999000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   = -0.428729187234464     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =       10000,
 IW      =          10
 $END
 alpha                    wr                       wi                       funk                    
 -0.1278951191116731E+00   0.7404455939520693E-16  -0.9177387720812183E+00  -0.3573256981816551E+02
 -0.1266219078803278E+00  -0.6472442649733157E-16  -0.9213271336596337E+00  -0.3608988106303618E+02
 -0.1253613716193089E+00  -0.7399752697904577E-18  -0.9249092556551262E+00  -0.3604360999671218E+02
 -0.1241133841477684E+00   0.4809981793219441E-18  -0.9284851620472787E+00  -0.3673672697948773E+02
 -0.1228778205410039E+00  -0.8354180136943409E-16  -0.9320548766923773E+00  -0.3522767218258251E+02
 -0.1216545571179531E+00  -0.1151902762544355E-15  -0.9356184233241485E+00  -0.3513745923976489E+02
 -0.1204434714288139E+00  -0.2898550068730419-307  -0.9391758255544930E+00  -0.7072025214030587E+03
 -0.1192444422427863E+00  -0.1231245904749943E-17  -0.9427271068742156E+00  -0.3604353117050525E+02
 -0.1180573495359376E+00  -0.2107733464584515E-17  -0.9462722906537475E+00  -0.3673536488317145E+02
 -0.1168820744791877E+00  -0.4996873041301706E-18  -0.9498114001438664E+00  -0.3673671949200727E+02
 -0.1157184994264142E+00  -0.1423724281333204E-17  -0.9533444584764112E+00  -0.3604348829000071E+02
 -0.1145665079026761E+00   0.1515420964870624E-17  -0.9568714886649912E+00  -0.3604346570330570E+02
 -0.1134259845925541E+00   0.1822082975416213E-17  -0.9603925136056928E+00  -0.3604338115469554E+02
 -0.1122968153286080E+00   0.9936301459624465E-18  -0.9639075560777792E+00  -0.3604357214073838E+02
 -0.1111788870799479E+00   0.3563486776166869-307  -0.9674166387443881E+00  -0.7069917574662824E+03
 -0.1100720879409201E+00   0.2069760792097159E-17  -0.9709197841532218E+00  -0.3604329855251571E+02
 -0.1089763071199051E+00   0.1014239920559226E-17  -0.9744170147372360E+00  -0.3673645858918482E+02
 -0.1078914349282272E+00   0.0000000000000000E+00  -0.9779083528153218E+00  -0.1200000000000000E+03
 -0.1068173627691746E+00   0.0000000000000000E+00  -0.9813938205929855E+00  -0.1200000000000000E+03
 -0.1057539831271287E+00  -0.4113353418514590E-18  -0.9848734401630208E+00  -0.3673674373462627E+02
 -0.1047011895568019E+00   0.2919960379842918-307  -0.9883472335061809E+00  -0.7071880261517537E+03
 -0.1036588766725820E+00   0.9272975676644102-307  -0.9918152224918417E+00  -0.7059308123344791E+03
 -0.1026269401379835E+00  -0.4606505536277894E-18  -0.9952774288786648E+00  -0.3604363538891634E+02
 -0.1016052766552029E+00  -0.4850671838729458E-18  -0.9987338743152530E+00  -0.3673672047273134E+02
 -0.1005937839547787E+00  -0.6932850487940669E-18  -0.1002184580340804E+01  -0.3604361234652418E+02
 -0.9959236078535416E-01   0.1305085497630159E-17  -0.1005629568385758E+01  -0.3604350747997866E+02
 -0.9860090690354198E-01  -0.1603793274663895E-17  -0.1009068859772444E+01  -0.3535045093508914E+02
 -0.9761932306388975E-01   0.0000000000000000E+00  -0.1012502475715715E+01  -0.1200000000000000E+03
 -0.9664751100894543E-01  -0.4080967909551168E-16  -0.1015930437323591E+01  -0.3557792196353365E+02
 -0.9568537345942169E-01  -0.4340698196618629-307  -0.1019352765597886E+01  -0.7067035402812417E+03
 -0.9473281410445816E-01  -0.5495349443742616E-16  -0.1022769481434834E+01  -0.3508695516415131E+02
 -0.9378973759198060E-01   0.3771072635610590E-18  -0.1026180605625721E+01  -0.3604364096218838E+02
 -0.9285604951915614E-01  -0.6454414941586939E-16  -0.1029586158857494E+01  -0.3526664127924791E+02
 -0.9193165642294340E-01   0.8385692240459017E-16  -0.1032986161713387E+01  -0.3521577595977842E+02
 -0.9101646577073672E-01   0.0000000000000000E+00  -0.1036380634673525E+01  -0.1200000000000000E+03
 -0.9011038595110368E-01  -0.3297892697157673E-16  -0.1039769598115535E+01  -0.3559712716654937E+02
 -0.8921332626461465E-01  -0.5247793273069598E-16  -0.1043153072315152E+01  -0.3619474797482935E+02
 -0.8832519691476358E-01   0.1394606954591418E-17  -0.1046531077446812E+01  -0.3604348011507314E+02
 -0.8744590899897954E-01   0.1003672259270354E-16  -0.1049903633584258E+01  -0.3534825998041642E+02
 -0.8657537449972724E-01   0.4666542322558348E-18  -0.1053270760701124E+01  -0.3673672245722017E+02
 -0.8571350627569654E-01  -0.5895097238972720E-16  -0.1056632478671528E+01  -0.3507968340792414E+02
 -0.8486021805307947E-01   0.1758908139283920E-17  -0.1059988807270654E+01  -0.3604337422724925E+02
 -0.8401542441693417E-01   0.2104236629162619E-16  -0.1063339766175336E+01  -0.3534058208012385E+02
 -0.8317904080263475E-01  -0.1275629093652179E-17  -0.1066685374964632E+01  -0.3604350559693920E+02
 -0.8235098348740626E-01  -0.1148469849941997E-17  -0.1070025653120400E+01  -0.3535047616048694E+02
 -0.8153116958194406E-01  -0.6356262924220993E-18  -0.1073360620027866E+01  -0.3673665285257903E+02
 -0.8071951702211649E-01   0.1868711282857013E-17  -0.1076690294976192E+01  -0.3604333323834005E+02
 -0.7991594456075007E-01   0.1870315799576151E-17  -0.1080014697159036E+01  -0.3604333167175363E+02
 -0.7912037175949665E-01  -0.8230581589475637E-16  -0.1083333845675113E+01  -0.3521450159554047E+02
 -0.7833271898078160E-01   0.1185060088913848E-15  -0.1086647759528750E+01  -0.3540313356679260E+02
 -0.7755290737983181E-01   0.3948383709932945E-18  -0.1089956457630437E+01  -0.3604363891055647E+02
 -0.7678085889678328E-01  -0.2879294583669351-307  -0.1093259958797375E+01  -0.7071902065236555E+03
 -0.7601649624886739E-01   0.3037823508747555E-17  -0.1096558281754023E+01  -0.3604279166369501E+02
 -0.7525974292267468E-01   0.2035905797059240E-17  -0.1099851445132634E+01  -0.3604326494979234E+02
 -0.7451052316649590E-01  -0.1972817970743531-306  -0.1103139467473798E+01  -0.7051102930315012E+03
 -0.7376876198273909E-01   0.1641869642444294E-17  -0.1106422367226975E+01  -0.3535044263524487E+02
 -0.7303438512042235E-01   0.7430642137194974E-18  -0.1109700162751023E+01  -0.3563816505923799E+02
 -0.7230731906774114E-01  -0.7685656821357747E-18  -0.1112972872314729E+01  -0.3673657633269255E+02
 -0.7158749104470982E-01  -0.1195014651814623E-15  -0.1116240514097332E+01  -0.3457886804271017E+02
 -0.7087482899587612E-01  -0.5829126518793958E-16  -0.1119503106189039E+01  -0.3507795848326821E+02
 -0.7016926158310859E-01   0.2699252003857905E-17  -0.1122760666591552E+01  -0.3535033172293321E+02
 -0.6947071817845521E-01   0.0000000000000000E+00  -0.1126013213218573E+01  -0.1200000000000000E+03
 -0.6877912885707388E-01   0.4586438225612193E-17  -0.1129260763896317E+01  -0.3563728783765389E+02
 -0.6809442439023253E-01   0.1631761423536498E-17  -0.1132503336364025E+01  -0.3494501249370227E+02
 -0.6741653623837952E-01   0.2324263159117136-307  -0.1135740948274460E+01  -0.7074006298201151E+03
 -0.6674539654428260E-01   0.1610732647372464E-17  -0.1138973617194412E+01  -0.3604340104008042E+02
 -0.6608093812623640E-01   0.1125565260934677E-16  -0.1142201360605196E+01  -0.3534742493721054E+02
 -0.6542309447133747E-01  -0.1023476342289419E-16  -0.1145424195903148E+01  -0.3603350380733951E+02
 -0.6477179972882634E-01  -0.1070166760358337E-17  -0.1148642140400111E+01  -0.3604354095974671E+02
 -0.6412698870349565E-01   0.1563508214904748E-15  -0.1151855211323929E+01  -0.3473078598871010E+02
 -0.6348859684916425E-01   0.2953564173193163-307  -0.1155063425818928E+01  -0.7070575702360352E+03
 -0.6285656026221580E-01  -0.8956370724995128E-16  -0.1158266800946402E+01  -0.3486372246652350E+02
 -0.6223081567520225E-01   0.0000000000000000E+00  -0.1161465353685088E+01  -0.1200000000000000E+03
 -0.6161130045051052E-01   0.3176518463557330E-17  -0.1164659100931645E+01  -0.3535025484128628E+02
 -0.6099795257409248E-01  -0.4126940828230166E-18  -0.1167848059501123E+01  -0.3673673246702084E+02
 -0.6039071064925729E-01  -0.5303808806745051E-18  -0.1171032246127440E+01  -0.3604362518321153E+02
 -0.5978951389052551E-01   0.2391229040681249-307  -0.1174211677463840E+01  -0.7073692764190021E+03
 -0.5919430211754440E-01   0.7328881366030426E-23  -0.1177386370083363E+01  -0.3494504110044905E+02
 -0.5860501574906389E-01   0.1384504378074355E-17  -0.1180556340479303E+01  -0.3563810209673426E+02
 -0.5802159579697236E-01   0.9306809452576381E-18  -0.1183721605065669E+01  -0.3604356550469984E+02
 -0.5744398386039192E-01  -0.3432531752924238E-17  -0.1186882180177636E+01  -0.3535020651742025E+02
 -0.5687212211983243E-01  -0.5190148910012875E-18  -0.1190038082072000E+01  -0.3673669059549134E+02
 -0.5630595333140366E-01   0.3011406511791584E-16  -0.1193189326927627E+01  -0.3493483042255524E+02
 -0.5574542082108521E-01   0.1744791264371941E-17  -0.1196335930845897E+01  -0.3535042806877416E+02
 -0.5519046847905332E-01   0.2401209555795824E-17  -0.1199477909851151E+01  -0.3535035778898344E+02
 -0.5464104075406423E-01   0.1078074775484156E-16  -0.1202615279891131E+01  -0.3790833621920015E+02
 -0.5409708264789349E-01  -0.8255010414708906E-16  -0.1205748056837414E+01  -0.3578970989457068E+02
 -0.5355853970983056E-01  -0.1872941585228074E-16  -0.1208876256485854E+01  -0.3562224806648543E+02
 -0.5302535803122825E-01  -0.3609620517353749E-18  -0.1211999894557009E+01  -0.3604363981371174E+02
 -0.5249748424010638E-01  -0.7848647364426916E-17  -0.1215118986696571E+01  -0.3512633378352704E+02
 -0.5197486549580927E-01   0.1096983979488741E-17  -0.1218233548475796E+01  -0.3535047468120374E+02
 -0.5145744948371626E-01  -0.3301608501022944E-16  -0.1221343595391927E+01  -0.3678036485824776E+02
 -0.5094518441000504E-01  -0.1027460789822935E-17  -0.1224449142868612E+01  -0.3604354212429146E+02
 -0.5043801899646698E-01  -0.3702688542347282E-16  -0.1227550206256329E+01  -0.3591638509889985E+02
 -0.4993590247537415E-01   0.7054145323513323E-16  -0.1230646800832796E+01  -0.3601682864100358E+02
 -0.4943878458439747E-01   0.1276528654128814E-16  -0.1233738941803392E+01  -0.3534619343592846E+02
 -0.4894661556157533E-01   0.1777080618770389E-17  -0.1236826644301558E+01  -0.3604331676573187E+02
