 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =  0.990000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.4611294978291071E+00  -0.5167291979975912-307  -0.3869909086530587E+00           200             5  -0.70801336E+03
 -0.4565182028508160E+00  -0.7227236989554889-307  -0.3915327124243045E+00           200             5  -0.70757433E+03
 -0.4519530208223079E+00  -0.2888442601752378E-17  -0.3960636000580234E+00           200             5  -0.36047854E+02
 -0.4474334906140848E+00  -0.4364033004788158E-17  -0.4005836207952779E+00           200             5  -0.36049247E+02
 -0.4429591557079439E+00   0.4562777229784586-307  -0.4050928235999324E+00           200             5  -0.70814353E+03
 -0.4385295641508645E+00   0.4322037111790169-307  -0.4095912571603539E+00           200             5  -0.70819917E+03
 -0.4341442685093558E+00  -0.3750043983240110-307  -0.4140789698911069E+00           200             5  -0.70834256E+03
 -0.4298028258242623E+00  -0.3725834066867501-307  -0.4185560099346445E+00           200             5  -0.70835046E+03
 -0.4255047975660197E+00  -0.2696529063937507-307  -0.4230224251629674E+00           200             6  -0.70815059E+03
 -0.4212497495903595E+00   0.1602952421031664E-16  -0.4274782631793052E+00           200             6  -0.39387633E+02
 -0.4170372520944559E+00   0.5760448542084216E-17  -0.4319235713197540E+00           200             6  -0.35354212E+02
 -0.4128668795735114E+00   0.1014596497716541-306  -0.4363583966549330E+00           200             6  -0.70811585E+03
 -0.4087382107777763E+00   0.1370108303817545E-16  -0.4407827859916057E+00           200             6  -0.36049573E+02
 -0.4046508286699985E+00   0.5957671295601272E-17  -0.4451967858743147E+00           200             6  -0.36051165E+02
 -0.4006043203832985E+00  -0.2713114667869419-307  -0.4496004425869810E+00           200             6  -0.70831161E+03
 -0.3965982771794656E+00   0.8502126925813304-307  -0.4539938021545252E+00           200             6  -0.70829244E+03
 -0.3926322944076709E+00  -0.8557018553155156-307  -0.4583769103444465E+00           200             6  -0.70828596E+03
 -0.3887059714635942E+00  -0.1054512239199554E-16  -0.4627498126684138E+00           200             7  -0.36044672E+02
 -0.3848189117489583E+00   0.9359696726251415-307  -0.4671125543838361E+00           200             7  -0.70828957E+03
 -0.3809707226314687E+00  -0.9236315490141657-307  -0.4714651804954272E+00           200             7  -0.70830524E+03
 -0.3771610154051540E+00  -0.3615916851434076E-15  -0.4758077357567657E+00           200             7  -0.35934254E+02
 -0.3733894052511025E+00   0.8072743814268362-307  -0.4801402646718377E+00           200             7  -0.70773992E+03
