 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.432751599366305     ,
 FAL     =   1.00010000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -2.00000000000000     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
 -0.2340674406531192E+02   0.1576642905652631E-16   0.3211635554136485E+01  -0.3494495530547714E+02
 -0.2364197393386273E+02  -0.1128971644970557E-14   0.3229743477938278E+01  -0.3445781051398512E+02
 -0.2387956778310662E+02  -0.8286712987056502E-17   0.3247933577521184E+01  -0.3604344393790202E+02
 -0.2411954937025076E+02   0.2965492269649403E-15   0.3266206291394123E+01  -0.3299852844028293E+02
 -0.2436194269125421E+02   0.3991997534442042E-14   0.3284562060281218E+01  -0.3242458947302143E+02
 -0.2460677198322731E+02   0.6332740902960350E-16   0.3303001327131844E+01  -0.3209240526739747E+02
 -0.2485406172685516E+02  -0.1579532987177508E-16   0.3321524537130983E+01  -0.3535032274133637E+02
 -0.2510383664884553E+02  -0.2844929962292528E-16   0.3340132137709387E+01  -0.3465721157618152E+02
 -0.2535612172440118E+02  -0.5977891655628521E-16   0.3358824578553986E+01  -0.3374096507004003E+02
 -0.2561094217971722E+02  -0.2208221513369555E-14   0.3377602311618034E+01  -0.3378320027449710E+02
 -0.2586832349450354E+02  -0.2132525701828552E-15   0.3396465791131879E+01  -0.3672102536801538E+02
 -0.2612829140453250E+02   0.4358724330081635E-14   0.3415415473613062E+01  -0.3318710111572610E+02
 -0.2639087190421223E+02   0.5205535348062476E-16   0.3434451817877076E+01  -0.3425168429905573E+02
 -0.2665609124918592E+02   0.2274583344876552E-16   0.3453575285047927E+01  -0.3443415835928095E+02
 -0.2692397595895710E+02  -0.2309718883752726E-16   0.3472786338573514E+01  -0.3494487900741807E+02
