 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.000000000000000E+000,
 NU      =  0.100000000000000     ,
 FNU     =  0.500100000000000     ,
 DLR     =  1.000000000000000E-004,
 DLI     =  1.000000000000000E-004,
 ALPHA   = -0.990000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+120,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 INUMAX  =       10000
 $END
 wr =   0.000000000000000E+000
 wi =  -5.698884682300605E-003
 nu                       wr                       wi                       nmax          nmin          funk           
 Landau mode (nu = 0.)     0.                      -0.5662521819357232E-02
212
  0.5093638499945650E+01   0.4992764411351008E-19  -0.9634069399090214E-03            50             3  -0.28379833E+02
  0.5145084248795101E+01  -0.1043897933579422E-20  -0.9541228202965713E-03            50             3  -0.29254524E+02
  0.5197049599707931E+01   0.2837536466631412E-19  -0.9449215364184619E-03            50             3  -0.28537387E+02
  0.5249539800664981E+01  -0.7032244286559328E-19  -0.9358025394305473E-03            50             3  -0.28134283E+02
  0.5302560152651697E+01   0.1445303084119090E-20  -0.9267652784926959E-03            50             3  -0.28302362E+02
  0.5356116010193479E+01  -0.1940594565410375E-20  -0.9178092009736829E-03            50             3  -0.27989239E+02
  0.5410212781896433E+01   0.4042351318319130E-21  -0.9089337526502002E-03            50             3  -0.29263154E+02
  0.5464855930993587E+01  -0.2261322112160207E-21  -0.9001383779000934E-03            50             3  -0.29496244E+02
  0.5520050975896623E+01   0.3960984881800577E-21  -0.8914225198899193E-03            50             3  -0.29419669E+02
  0.5575803490753178E+01  -0.1568903850256849E-19  -0.8827856207569342E-03            50             3  -0.27841896E+02
  0.5632119106009785E+01   0.4411381538873234E-21  -0.8742271217856096E-03            50             3  -0.29413314E+02
  0.5689003508980484E+01  -0.3275608295582763E-21  -0.8657464635787818E-03            50             3  -0.28037308E+02
  0.5746462444421187E+01  -0.4833503846370486E-21  -0.8573430862235392E-03            50             3  -0.28437451E+02
  0.5804501715109841E+01   0.3306995177391095E-21  -0.8490164294519464E-03            50             3  -0.28552920E+02
  0.5863127182432450E+01  -0.4535787333968693E-19  -0.8407659327967099E-03            50             3  -0.27287055E+02
  0.5922344766975018E+01  -0.4188275811551874E-19  -0.8325910357418894E-03            50             3  -0.27263136E+02
  0.5982160449121465E+01  -0.2824747452115795E-21  -0.8244911778687494E-03            50             3  -0.29497358E+02
  0.6042580269657591E+01   0.1283900443955977E-21  -0.8164657989968651E-03            50             3  -0.29682400E+02
  0.6103610330381133E+01   0.1660744819084512E-21  -0.8085143393205660E-03            50             3  -0.29092211E+02
  0.6165256794717982E+01   0.5399323869893256E-20  -0.8006362395408336E-03            50             3  -0.28849452E+02
  0.6227525888344634E+01  -0.3538419713176470E-21  -0.7928309409927412E-03            50             3  -0.29088359E+02
  0.6290423899816915E+01   0.7137521842920858E-22  -0.7850978857685375E-03            50             3  -0.30651946E+02
  0.6353957181205065E+01   0.2126779107512334E-21  -0.7774365168364734E-03            50             3  -0.27873530E+02
  0.6418132148735237E+01  -0.2013424303415162E-20  -0.7698462781554648E-03            50             3  -0.27357849E+02
  0.6482955283437462E+01  -0.5280347628574662E-20  -0.7623266147856881E-03            50             3  -0.27304463E+02
  0.6548433131800181E+01  -0.2838863058569811E-21  -0.7548769729952035E-03            50             3  -0.28965925E+02
  0.6614572306431363E+01   0.1437118057286102E-20  -0.7474968003626983E-03            50             3  -0.27312853E+02
  0.6681379486726319E+01  -0.5513952858038632E-22  -0.7401855458764403E-03            50             3  -0.27914922E+02
  0.6748861419542255E+01   0.2020234428256303E-20  -0.7329426600295381E-03            50             3  -0.27146323E+02
  0.6817024919879632E+01  -0.7541339995665764E-21  -0.7257675949115881E-03            50             3  -0.27442992E+02
  0.6885876871570416E+01   0.6227269235570636E-22  -0.7186598042968077E-03            50             3  -0.29307789E+02
  0.6955424227973277E+01  -0.5969746457218602E-19  -0.7116187437287316E-03            50             3  -0.25998238E+02
  0.7025674012675807E+01  -0.1198236269168252E-21  -0.7046438706015631E-03            50             3  -0.28470224E+02
  0.7096633320203833E+01   0.3221000329874878E-23  -0.6977346442382641E-03            50             3  -0.31838421E+02
  0.7168309316737892E+01  -0.4446684277492532E-22  -0.6908905259654635E-03            50             3  -0.30205928E+02
  0.7240709240836944E+01   0.6304813461319125E-21  -0.6841109791852690E-03            50             3  -0.27634778E+02
  0.7313840404169397E+01  -0.1751278786702333E-21  -0.6773954694440627E-03            50             3  -0.27990645E+02
