 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.2330021804825016E+01  -0.3134074567619663E-18   0.5328100373663824E+00           200             3  -0.36394966E+02
 -0.2353322022873266E+01  -0.5193406780442391E-18   0.5399653177255197E+00           200             3  -0.35699151E+02
 -0.2376855243101999E+01   0.2674968376451936E-18   0.5471444090204844E+00           200             3  -0.35696500E+02
 -0.2400623795533019E+01   0.1429335469207918E-17   0.5543474347519997E+00           200             3  -0.35693151E+02
 -0.2424630033488349E+01  -0.1330679143616553E-17   0.5615745191313986E+00           200             3  -0.34774696E+02
 -0.2448876333823232E+01  -0.3811461571640257E-16   0.5688257870845219E+00           200             3  -0.34399014E+02
 -0.2473365097161465E+01  -0.2422032174056849E-16   0.5761013642556301E+00           200             3  -0.34740137E+02
 -0.2498098748133080E+01   0.1018309768367977E-15   0.5834013770113331E+00           200             3  -0.34036888E+02
 -0.2523079735614410E+01   0.5679552101558054E-18   0.5907259524445354E+00           200             3  -0.36372843E+02
 -0.2548310532970555E+01  -0.3939140299972922E-18   0.5980752183783999E+00           200             3  -0.35271864E+02
 -0.2573793638300260E+01  -0.1313389259553920E-17   0.6054493033703248E+00           200             3  -0.34981302E+02
 -0.2599531574683263E+01   0.0000000000000000E+00   0.6128483367159389E+00           200             3  -0.12000000E+03
 -0.2625526890430096E+01  -0.6963421156597320E-16   0.6202724484531147E+00           200             3  -0.34686699E+02
 -0.2651782159334397E+01   0.4902324363955841E-16   0.6277217693659952E+00           200             3  -0.35196994E+02
 -0.2678299980927741E+01  -0.2768730833402202E-16   0.6351964309890396E+00           200             3  -0.36012405E+02
 -0.2705082980737018E+01  -0.3837429076981075E-18   0.6426965656110835E+00           200             3  -0.36353627E+02
 -0.2732133810544389E+01  -0.1411245429626689E-16   0.6502223062794179E+00           200             3  -0.34948728E+02
 -0.2759455148649832E+01   0.9887327845208947E-17   0.6577737868038829E+00           200             3  -0.36234207E+02
 -0.2787049700136331E+01   0.5796719971651833E-18   0.6653511417609792E+00           200             3  -0.35246732E+02
 -0.2814920197137694E+01   0.1897336249092221E-17   0.6729545064979960E+00           200             3  -0.34396565E+02
 -0.2843069399109071E+01   0.2992096982508479E-17   0.6805840171371547E+00           200             3  -0.34952709E+02
 -0.2871500093100162E+01   0.7478178570760629E-18   0.6882398105797702E+00           200             3  -0.35643577E+02
