 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.000000000000000E+000,
 NU      =  1.000000000000000E-003,
 FNU     =  0.500010000000000     ,
 DLR     =  1.000000000000000E-004,
 DLI     =  1.000000000000000E-004,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+120,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 INUMAX  =       10000
 $END
 wr =   0.000000000000000E+000
 wi =   5.586035480670859E-003
 Landua mode (nu = 0)      0.                       0.5621517002683745E-02
 nu                       wr                       wi                       nmax          nmin          funk           
  0.1448972621480008E+01   0.3244091412686476E-20   0.2837332932924412E-02           119             3  -0.33524987E+02
  0.1521422701526630E+01  -0.1090096768578642E-21   0.2743625807531054E-02           119             3  -0.36047601E+02
  0.1597495358025663E+01  -0.4044452878914682E-20   0.2650403027569747E-02           113             3  -0.32826349E+02
  0.1677371723422304E+01   0.9015331271776792E-21   0.2557920793051649E-02           113             3  -0.33946071E+02
  0.1761241986965143E+01  -0.4151336989401895E-20   0.2466420722429271E-02           113             3  -0.32405426E+02
  0.1849305847555387E+01   0.1189805504389864E-20   0.2376127374103216E-02           109             3  -0.32361303E+02
  0.1941772989239004E+01  -0.1262935478547347E-18   0.2287246348770057E-02           109             3  -0.31781366E+02
  0.2038863580473943E+01  -0.4647513161912415E-19   0.2199962967257336E-02           109             3  -0.31369644E+02
  0.2140808798361221E+01  -0.2519347070142687E-20   0.2114441495316205E-02           104             3  -0.31887459E+02
  0.2247851379088080E+01   0.2003871071250306E-20   0.2030824868974023E-02           104             3  -0.31919185E+02
  0.2360246195893863E+01   0.1684162938576828E-20   0.1949234861638473E-02           104             3  -0.32211874E+02
  0.2478260865934752E+01   0.1317792412294177E-18   0.1869772626887699E-02           100             3  -0.30420893E+02
  0.2602176387492356E+01  -0.1992025574159164E-21   0.1792519548156143E-02           100             3  -0.32221398E+02
  0.2732287809043361E+01   0.1870382413388750E-20   0.1717538327526681E-02           100             3  -0.30698818E+02
  0.2868904931783338E+01   0.1308080839125929E-20   0.1644874249690505E-02            96             3  -0.30588781E+02
  0.3012353047277437E+01  -0.2306628472575451E-18   0.1574556562981998E-02            96             3  -0.29486408E+02
  0.3162973711994356E+01  -0.1286923537242875E-18   0.1506599926464393E-02            96             3  -0.30046194E+02
  0.3321125560567785E+01   0.6508064639691038E-21   0.1441005879680826E-02            96             3  -0.31598808E+02
  0.3487185159721735E+01  -0.2811901428258180E-19   0.1377764299376430E-02            91             3  -0.29592881E+02
  0.3661547904892981E+01   0.3405697897059927E-21   0.1316854814856235E-02            91             3  -0.29856672E+02
  0.3844628961685535E+01   0.1662181812907336E-18   0.1258248160408303E-02            91             3  -0.28502949E+02
  0.4036864254398774E+01   0.1393777159766742E-18   0.1201907449233815E-02            91             3  -0.28532130E+02
  0.4238711503982967E+01   0.3273704940202406E-20   0.1147789358510924E-02            87             3  -0.28483575E+02
  0.4450651317893619E+01  -0.6046369229983070E-19   0.1095845219566821E-02            87             3  -0.28564730E+02
  0.4673188334439617E+01  -0.1272682945625067E-18   0.1046022010676768E-02            87             3  -0.28329976E+02
  0.4906852424349932E+01  -0.2517185185668062E-21   0.9982632528144422E-03            87             3  -0.29757482E+02
